Average of vanilla samples
-----------------------------------------------------------------------------------------------------------------------
| deepresonance:resonating_ore           | Resonating Ore      | 2.26186    |
| immersiveengineering:ore               | Copper Ore          | 28.20163   |
| immersiveengineering:ore               | Bauxite Ore         | 5.91096    |
| immersiveengineering:ore               | Lead Ore            | 12.34002   |
| immersiveengineering:ore               | Silver Ore          | 11.56984   |
| immersiveengineering:ore               | Nickel Ore          | 3.61154    |
| immersiveengineering:ore               | Uranium Ore         | 1.3261     |
| minecraft:coal_ore                     | Coal Ore            | 19.12964   |
| minecraft:diamond_ore                  | Diamond Ore         | 0.522      |
| minecraft:emerald_ore                  | Emerald Ore         | 9.86832    |
| minecraft:gold_ore                     | Gold Ore            | 67.96188   |
| minecraft:iron_ore                     | Iron Ore            | 24.09468   |
| minecraft:lapis_ore                    | Lapis Lazuli Ore    | 0.02262    |
| minecraft:redstone_ore                 | Redstone Ore        | 56.67504   |
| primal:ore_zinc                        | Carbonate Zinc Ore  | 0.95634    |
| thermalfoundation:ore                  | Tin Ore             | 25.45326   |
-----------------------------------------------------------------------------------------------------------------------

| immersiveengineering:ore              | 1831 |    1 | Bauxite Ore                   |   1193788 | 117.0265    *
| immersiveengineering:ore              | 1831 |    2 | Lead Ore                      |    326650 | 32.0213
| immersiveengineering:ore              | 1831 |    3 | Silver Ore                    |    120030 | 11.7664
| immersiveengineering:ore              | 1831 |    4 | Nickel Ore                    |    235166 | 23.0532
| immersiveengineering:ore              | 1831 |    5 | Uranium Ore                   |    270929 | 26.5590
| minecraft:coal_ore                    |   16 |    0 | Coal Ore                      |    131449 | 12.8858     *
| minecraft:diamond_ore                 |   56 |    0 | Diamond Ore                   |     21834 | 2.1403
| minecraft:emerald_ore                 |  129 |    0 | Emerald Ore                   |     11884 | 1.1649      *
| minecraft:gold_ore                    |   14 |    0 | Gold Ore                      |    171474 | 16.8095
| minecraft:iron_ore                    |   15 |    0 | Iron Ore                      |    341476 | 33.4747     *
| minecraft:lapis_ore                   |   21 |    0 | Lapis Lazuli Ore              |     21019 | 2.0604      *
| minecraft:redstone_ore                |   73 |    0 | Redstone Ore                  |     51879 | 5.0856      *
| primal:ore_zinc                       | 2178 |    0 | Carbonate Zinc Ore            |    412134 | 40.4013     *
| thermalfoundation:ore                 |  403 |    1 | Tin Ore                       |    461892 | 45.2790     *
| thermalfoundation:ore                 |  403 |    6 | Platinum Ore                  |     27591 | 2.7047      *
| thermalfoundation:ore                 |  403 |    7 | Iridium Ore                   |   5593719 | 548.3500    *


v1.8
| deepresonance:resonating_ore          | 1552 |    0 | Resonating Ore                       |    496068 | 48.6293  *
| immersiveengineering:ore              | 1798 |    0 | Copper Ore                           |   1177297 | 115.4099 *
| immersiveengineering:ore              | 1798 |    1 | Bauxite Ore                          |   1346329 | 131.9800 *
| immersiveengineering:ore              | 1798 |    2 | Lead Ore                             |     39887 | 3.9101   *
| immersiveengineering:ore              | 1798 |    3 | Silver Ore                           |     54051 | 5.2985
| immersiveengineering:ore              | 1798 |    4 | Nickel Ore                           |    392485 | 38.4751  *
| immersiveengineering:ore              | 1798 |    5 | Uranium Ore                          |    946764 | 92.8109  *
| minecraft:coal_ore                    |   16 |    0 | Coal Ore                             |    214906 | 21.0671  *
| minecraft:diamond_ore                 |   56 |    0 | Diamond Ore                          |     32128 | 3.1494   *
| minecraft:emerald_ore                 |  129 |    0 | Emerald Ore                          |     10054 | 0.9855
| minecraft:gold_ore                    |   14 |    0 | Gold Ore                             |    180342 | 17.6788  *
| minecraft:iron_ore                    |   15 |    0 | Iron Ore                             |    323074 | 31.6708
| minecraft:lapis_ore                   |   21 |    0 | Lapis Lazuli Ore                     |     31258 | 3.0642   *
| minecraft:redstone_ore                |   73 |    0 | Redstone Ore                         |     26086 | 2.5572   *
| primal:ore_zinc                       | 2145 |    0 | Carbonate Zinc Ore                   |      3732 | 0.3658   *
| thermalfoundation:ore                 |  403 |    1 | Tin Ore                              |   1104036 | 108.2282 *
| thermalfoundation:ore                 |  403 |    6 | Platinum Ore                         |     23535 | 2.3071   *


v1.7
| deepresonance:resonating_ore            | 1552 |    0 | Resonating Ore                  |    484126 | 47.4586
| immersiveengineering:ore                | 1798 |    0 | Copper Ore                      |    621539 | 60.9292     *
| immersiveengineering:ore                | 1798 |    1 | Bauxite Ore                     |   1490237 | 146.0873    *
| immersiveengineering:ore                | 1798 |    2 | Lead Ore                        |     29284 | 2.8706
| immersiveengineering:ore                | 1798 |    3 | Silver Ore                      |     56978 | 5.5855      *
| immersiveengineering:ore                | 1798 |    4 | Nickel Ore                      |     72675 | 7.1243
| immersiveengineering:ore                | 1798 |    5 | Uranium Ore                     |    919069 | 90.0959     *
| minecraft:coal_ore                      |   16 |    0 | Coal Ore                        |    239534 | 23.4814     0
| minecraft:diamond_ore                   |   56 |    0 | Diamond Ore                     |     26701 | 2.6174      *
| minecraft:emerald_ore                   |  129 |    0 | Emerald Ore                     |     19316 | 1.8935      *
| minecraft:gold_ore                      |   14 |    0 | Gold Ore                        |    163356 | 16.0137     *
| minecraft:iron_ore                      |   15 |    0 | Iron Ore                        |    502515 | 49.2613     *
| minecraft:lapis_ore                     |   21 |    0 | Lapis Lazuli Ore                |     26382 | 2.5862      *
| minecraft:redstone_ore                  |   73 |    0 | Redstone Ore                    |     16532 | 1.6206      *
| primal:ore_zinc                         | 2145 |    0 | Carbonate Zinc Ore              |     11327 | 1.1103
| thermalfoundation:ore                   |  403 |    6 | Platinum Ore                    |     27828 | 2.7279      *


v1.6
| deepresonance:resonating_ore            | 1552 |    0 | Resonating Ore                  |    322412 | 31.6059
| immersiveengineering:ore                | 1798 |    0 | Copper Ore                      |    364818 | 35.7629     *
| thermalfoundation:ore                   |  403 |    0 | Copper Ore                      |    108214 | 10.6081
| immersiveengineering:ore                | 1798 |    2 | Lead Ore                        |     46846 | 4.5922
| immersiveengineering:ore                | 1798 |    3 | Silver Ore                      |     75327 | 7.3842      0
| immersiveengineering:ore                | 1798 |    4 | Nickel Ore                      |     82081 | 8.0463
| immersiveengineering:ore                | 1798 |    5 | Uranium Ore                     |    596293 | 58.4543     *
| minecraft:coal_ore                      |   16 |    0 | Coal Ore                        |    103534 | 10.1493     *
| minecraft:diamond_ore                   |   56 |    0 | Diamond Ore                     |     37001 | 3.6271      *
| minecraft:emerald_ore                   |  129 |    0 | Emerald Ore                     |      9807 | 0.9613      0
| minecraft:gold_ore                      |   14 |    0 | Gold Ore                        |    151563 | 14.8576     *
| minecraft:iron_ore                      |   15 |    0 | Iron Ore                        |    387450 | 37.9815     0
| minecraft:lapis_ore                     |   21 |    0 | Lapis Lazuli Ore                |     33896 | 3.3228      *
| minecraft:redstone_ore                  |   73 |    0 | Redstone Ore                    |        99 | 0.0097
| primal:ore_zinc                         | 2145 |    0 | Carbonate Zinc Ore              |      2088 | 0.2046
| thermalfoundation:ore                   |  403 |    6 | Platinum Ore                    |     41556 | 4.0737      *


v1.5
| deepresonance:resonating_ore            | 1552 |    0 | Resonating Ore                       |    531256 | 52.0788
| immersiveengineering:ore                | 1798 |    0 | Copper Ore                           |    355825 | 34.8813    0
| immersiveengineering:ore                | 1798 |    4 | Nickel Ore                           |    103073 | 10.1042
| immersiveengineering:ore                | 1798 |    5 | Uranium Ore                          |   1017824 | 99.7768    *
| minecraft:coal_ore                      |   16 |    0 | Coal Ore                             |    188157 | 18.4449    0
| minecraft:diamond_ore                   |   56 |    0 | Diamond Ore                          |     40670 | 3.9868     *
| minecraft:emerald_ore                   |  129 |    0 | Emerald Ore                          |      5404 | 0.5297     0
| minecraft:iron_ore                      |   15 |    0 | Iron Ore                             |    384116 | 37.6547    0
| minecraft:lapis_ore                     |   21 |    0 | Lapis Lazuli Ore                     |     17144 | 1.6806     0
| minecraft:redstone_ore                  |   73 |    0 | Redstone Ore                         |        99 | 0.0097
| primal:ore_zinc                         | 2145 |    0 | Carbonate Zinc Ore                   |      3611 | 0.3539
| thermalfoundation:ore                   |  403 |    6 | Platinum Ore                         |     39050 | 3.8280     *

v1.4
| deepresonance:resonating_ore           | 1552 |    0 | Resonating Ore                       |    596725 | 58.4967
| immersiveengineering:ore               | 1798 |    0 | Copper Ore                           |    259488 | 25.4375     *
| immersiveengineering:ore               | 1798 |    4 | Nickel Ore                           |     56913 | 5.5791
| immersiveengineering:ore               | 1798 |    5 | Uranium Ore                          |   1147065 | 112.4463    *
| minecraft:coal_ore                     |   16 |    0 | Coal Ore                             |    184768 | 18.1127     *
| minecraft:diamond_ore                  |   56 |    0 | Diamond Ore                          |     29543 | 2.8960      *
| minecraft:emerald_ore                  |  129 |    0 | Emerald Ore                          |       753 | 0.0738      *
| minecraft:gold_ore                     |   14 |    0 | Gold Ore                             |      8498 | 0.8330
| minecraft:iron_ore                     |   15 |    0 | Iron Ore                             |    247251 | 24.2379     *
| minecraft:lapis_ore                    |   21 |    0 | Lapis Lazuli Ore                     |     38502 | 3.7743      *
